Table 8-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Postsecondary degree holders among individuals 25–44 years old, by state: 2000–2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postsecondary degree holders 25–44 years old,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,Postsecondary degree holders/individuals 25–44 years old (%),,,,,,,,,,,
State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States,"29,471,612","29,834,331","30,229,988","30,738,684","31,200,605","31,382,831","31,653,483","31,935,182","32,108,334","32,606,255","32,574,122","33,261,456",,"84,973,340","84,523,274","83,990,295","83,398,001","83,066,831","82,764,185","82,638,980","82,509,693","82,399,959","82,211,153","82,194,586","82,432,298",,34.7,35.3,36.0,36.9,37.6,37.9,38.3,38.7,39.0,39.7,39.6,40.4
Alabama ,"370,196","368,495","394,925","381,050","416,570","389,490","382,124","388,036","398,445","405,826","395,963","410,753",,"1,284,371","1,266,952","1,249,808","1,238,460","1,231,571","1,228,586","1,233,767","1,232,608","1,231,410","1,232,200","1,227,081","1,223,076",,28.8,29.1,31.6,30.8,33.8,31.7,31.0,31.5,32.4,32.9,32.3,33.6
Alaska ,"61,646","59,787","62,028","58,059","61,551","58,631","63,331","65,635","66,582","61,366","72,192","68,881",,"202,899","198,158","194,428","190,773","189,864","188,753","188,470","188,612","189,673","191,023","196,711","198,914",,30.4,30.2,31.9,30.4,32.4,31.1,33.6,34.8,35.1,32.1,36.7,34.6
Arizona,"472,901","460,938","466,595","498,703","519,089","552,805","586,052","583,947","580,904","608,775","572,253","595,767",,"1,514,406","1,526,458","1,543,384","1,554,533","1,580,090","1,620,018","1,664,223","1,682,760","1,690,369","1,685,082","1,680,843","1,688,279",,31.2,30.2,30.2,32.1,32.9,34.1,35.2,34.7,34.4,36.1,34.0,35.3
Arkansas ,"177,657","185,372","211,034","187,589","191,844","202,622","202,594","207,170","205,024","216,126","218,464","225,881",,"749,201","743,315","737,150","734,963","736,873","741,013","747,504","747,162","745,354","743,283","743,151","745,421",,23.7,24.9,28.6,25.5,26.0,27.3,27.1,27.7,27.5,29.1,29.4,30.3
California,"3,670,622","3,618,304","3,830,611","3,918,228","3,916,467","3,892,099","3,942,407","3,958,150","3,950,535","4,024,498","4,037,407","4,095,176",,"10,724,282","10,750,718","10,725,588","10,697,022","10,675,493","10,619,001","10,578,738","10,519,395","10,505,976","10,493,897","10,509,608","10,565,342",,34.2,33.7,35.7,36.6,36.7,36.7,37.3,37.6,37.6,38.4,38.4,38.8
Colorado,"596,036","591,620","595,381","623,279","597,798","636,437","616,562","635,206","645,199","654,274","657,582","686,256",,"1,404,449","1,412,620","1,406,914","1,387,655","1,381,778","1,372,686","1,380,451","1,391,221","1,404,254","1,415,641","1,430,572","1,448,033",,42.4,41.9,42.3,44.9,43.3,46.4,44.7,45.7,45.9,46.2,46.0,47.4
Connecticut,"443,608","445,850","436,877","447,818","446,196","432,451","425,024","431,258","435,632","426,214","422,805","426,066",,"1,031,174","1,017,477","1,006,189","993,386","976,914","959,888","944,217","930,413","923,555","911,836","904,343","898,232",,43.0,43.8,43.4,45.1,45.7,45.1,45.0,46.4,47.2,46.7,46.8,47.4
Delaware ,"84,170","81,009","86,614","90,649","90,323","87,994","92,375","86,106","85,127","92,531","86,802","89,768",,"236,255","233,890","232,409","231,993","232,563","232,763","232,516","231,339","230,357","228,638","227,668","227,578",,35.6,34.6,37.3,39.1,38.8,37.8,39.7,37.2,37.0,40.5,38.1,39.4
Florida,"1,513,345","1,564,716","1,557,481","1,616,842","1,663,973","1,694,517","1,766,287","1,781,351","1,745,624","1,761,941","1,741,398","1,807,574",,"4,574,160","4,591,807","4,617,681","4,636,916","4,693,728","4,759,595","4,804,621","4,794,919","4,764,109","4,728,842","4,724,036","4,758,046",,33.1,34.1,33.7,34.9,35.5,35.6,36.8,37.2,36.6,37.3,36.9,38.0
Georgia,"884,108","874,366","872,414","929,979","908,169","1,013,471","993,730","1,016,236","1,033,223","1,039,426","1,008,475","1,032,857",,"2,656,884","2,668,017","2,668,636","2,662,858","2,674,993","2,685,792","2,727,666","2,747,437","2,758,599","2,750,052","2,736,402","2,741,412",,33.3,32.8,32.7,34.9,34.0,37.7,36.4,37.0,37.5,37.8,36.9,37.7
Hawaii ,"136,758","129,438","138,714","132,630","140,726","129,858","149,841","149,667","146,660","157,298","146,456","151,199",,"361,421","357,271","354,814","350,487","351,586","355,213","358,311","355,570","358,796","360,092","362,105","366,855",,37.8,36.2,39.1,37.8,40.0,36.6,41.8,42.1,40.9,43.7,40.4,41.2
Idaho ,"112,690","102,492","120,879","121,592","122,855","121,718","133,521","142,792","139,525","135,622","138,978","145,300",,"362,462","362,154","362,465","363,761","368,918","374,779","383,267","391,280","396,766","399,670","400,881","402,781",,31.1,28.3,33.3,33.4,33.3,32.5,34.8,36.5,35.2,33.9,34.7,36.1
Illinois,"1,444,942","1,488,602","1,475,813","1,487,189","1,543,755","1,530,725","1,515,472","1,522,302","1,541,823","1,553,736","1,534,125","1,567,172",,"3,787,941","3,756,180","3,720,108","3,675,421","3,634,054","3,595,524","3,572,420","3,552,188","3,537,433","3,517,245","3,501,472","3,491,104",,38.1,39.6,39.7,40.5,42.5,42.6,42.4,42.9,43.6,44.2,43.8,44.9
Indiana,"537,644","561,655","557,999","543,808","565,507","562,483","582,550","590,086","609,664","603,097","592,540","614,145",,"1,787,894","1,769,492","1,749,881","1,734,492","1,720,907","1,711,914","1,705,535","1,699,363","1,690,585","1,676,552","1,668,262","1,665,758",,30.1,31.7,31.9,31.4,32.9,32.9,34.2,34.7,36.1,36.0,35.5,36.9
Iowa,"289,740","299,357","294,568","294,559","314,778","317,772","314,362","324,136","327,026","331,841","332,183","342,653",,"805,939","793,288","780,285","768,483","759,650","753,008","747,836","747,886","746,335","745,305","747,921","749,530",,36.0,37.7,37.8,38.3,41.4,42.2,42.0,43.3,43.8,44.5,44.4,45.7
Kansas ,"282,475","304,258","280,171","307,608","312,176","289,848","288,709","294,750","303,964","297,294","310,565","308,235",,"767,825","755,887","744,899","732,616","724,588","715,568","713,707","714,627","717,210","720,316","725,527","727,160",,36.8,40.3,37.6,42.0,43.1,40.5,40.5,41.2,42.4,41.3,42.8,42.4
Kentucky ,"317,109","321,357","338,493","335,263","338,938","353,170","367,007","359,918","369,281","385,497","372,625","377,645",,"1,207,861","1,194,291","1,181,622","1,170,580","1,167,552","1,163,875","1,162,541","1,160,702","1,152,941","1,147,693","1,143,007","1,138,883",,26.3,26.9,28.6,28.6,29.0,30.3,31.6,31.0,32.0,33.6,32.6,33.2
Louisiana ,"316,348","318,160","325,257","346,949","351,539","340,337","316,725","312,253","324,140","358,275","362,815","365,789",,"1,289,109","1,268,704","1,254,237","1,242,754","1,241,246","1,237,958","1,152,042","1,162,238","1,169,750","1,181,653","1,195,484","1,203,069",,24.5,25.1,25.9,27.9,28.3,27.5,27.5,26.9,27.7,30.3,30.3,30.4
Maine ,"122,958","121,914","132,814","128,525","127,211","123,129","126,998","131,939","119,603","122,981","123,044","127,825",,"369,562","364,111","359,629","354,995","349,636","343,558","337,692","332,401","326,952","320,549","315,209","312,002",,33.3,33.5,36.9,36.2,36.4,35.8,37.6,39.7,36.6,38.4,39.0,41.0
Maryland,"672,460","690,575","690,654","714,825","684,230","693,317","727,195","701,070","698,838","713,321","708,996","732,628",,"1,663,110","1,652,198","1,643,595","1,632,141","1,620,262","1,610,134","1,598,650","1,580,856","1,569,212","1,558,062","1,559,396","1,565,884",,40.4,41.8,42.0,43.8,42.2,43.1,45.5,44.3,44.5,45.8,45.5,46.8
Massachusetts,"942,748","974,665","958,593","970,834","992,730","932,197","925,921","929,041","916,551","939,443","928,542","929,155",,"1,986,325","1,967,815","1,940,811","1,905,515","1,867,029","1,828,665","1,795,786","1,769,742","1,754,618","1,741,440","1,735,159","1,738,118",,47.5,49.5,49.4,50.9,53.2,51.0,51.6,52.5,52.2,53.9,53.5,53.5
Michigan,"982,169","1,030,376","1,014,106","1,026,212","1,019,192","1,013,031","1,001,040","992,470","971,072","946,696","928,482","940,460",,"2,952,464","2,905,689","2,851,453","2,801,823","2,754,780","2,708,190","2,658,755","2,601,061","2,537,217","2,476,233","2,437,140","2,414,603",,33.3,35.5,35.6,36.6,37.0,37.4,37.7,38.2,38.3,38.2,38.1,38.9
Minnesota,"631,677","665,624","647,061","668,668","679,529","684,727","674,897","680,415","693,617","688,731","700,450","710,688",,"1,496,022","1,486,814","1,471,180","1,453,237","1,438,206","1,423,781","1,412,852","1,411,388","1,405,692","1,399,672","1,397,126","1,400,438",,42.2,44.8,44.0,46.0,47.2,48.1,47.8,48.2,49.3,49.2,50.1,50.7
Mississippi ,"208,866","218,184","225,643","214,703","226,902","231,759","230,625","227,816","236,879","226,353","240,920","241,695",,"805,410","794,888","785,469","777,834","775,580","774,027","767,066","768,082","767,502","764,156","761,370","760,122",,25.9,27.4,28.7,27.6,29.3,29.9,30.1,29.7,30.9,29.6,31.6,31.8
Missouri,"517,750","518,314","547,715","541,597","564,189","543,130","560,544","567,002","568,997","582,137","590,442","602,937",,"1,623,972","1,606,777","1,590,123","1,572,464","1,560,550","1,551,228","1,547,126","1,542,309","1,532,837","1,527,653","1,523,985","1,523,458",,31.9,32.3,34.4,34.4,36.2,35.0,36.2,36.8,37.1,38.1,38.7,39.6
Montana ,"81,428","79,849","79,332","85,047","86,500","85,590","90,992","86,169","92,019","94,468","95,825","99,689",,"244,578","238,899","234,222","230,567","229,675","228,195","228,548","231,371","233,215","234,399","235,800","237,269",,33.3,33.4,33.9,36.9,37.7,37.5,39.8,37.2,39.5,40.3,40.6,42.0
Nebraska ,"185,090","194,601","187,674","187,939","203,671","202,182","198,392","203,440","198,136","202,445","209,088","207,888",,"486,133","478,968","473,420","468,695","464,418","460,291","458,133","458,373","459,084","462,372","466,702","469,737",,38.1,40.6,39.6,40.1,43.9,43.9,43.3,44.4,43.2,43.8,44.8,44.3
Nevada ,"152,536","152,489","158,521","167,370","190,198","193,902","208,988","214,807","217,026","226,510","218,723","216,971",,"632,738","648,880","663,253","677,529","701,910","724,049","747,896","765,237","774,847","774,536","769,689","766,544",,24.1,23.5,23.9,24.7,27.1,26.8,27.9,28.1,28.0,29.2,28.4,28.3
New Hampshire ,"156,434","164,905","153,226","163,231","155,957","161,161","161,622","159,905","163,108","153,958","151,555","151,036",,"380,967","378,536","373,700","368,330","361,463","355,033","348,846","342,511","335,808","328,416","323,178","319,411",,41.1,43.6,41.0,44.3,43.1,45.4,46.3,46.7,48.6,46.9,46.9,47.3
New Jersey,"1,076,450","1,137,167","1,089,899","1,105,776","1,085,350","1,114,215","1,115,872","1,090,780","1,104,382","1,101,798","1,117,026","1,105,760",,"2,621,571","2,603,347","2,581,946","2,553,301","2,520,242","2,485,042","2,446,589","2,413,538","2,389,516","2,364,261","2,348,759","2,338,637",,41.1,43.7,42.2,43.3,43.1,44.8,45.6,45.2,46.2,46.6,47.6,47.3
New Mexico ,"149,398","141,690","166,378","142,448","154,608","153,406","160,603","157,903","161,158","164,083","159,591","166,658",,"514,911","506,151","503,680","501,832","502,867","505,077","507,378","509,824","508,578","511,617","516,303","519,946",,29.0,28.0,33.0,28.4,30.7,30.4,31.7,31.0,31.7,32.1,30.9,32.1
New York,"2,359,507","2,335,677","2,417,516","2,432,498","2,451,559","2,499,314","2,450,307","2,465,176","2,487,548","2,566,265","2,503,461","2,534,197",,"5,823,214","5,775,563","5,719,243","5,659,284","5,583,555","5,492,496","5,417,603","5,357,444","5,324,739","5,290,037","5,270,330","5,280,570",,40.5,40.4,42.3,43.0,43.9,45.5,45.2,46.0,46.7,48.5,47.5,48.0
North Carolina,"844,019","826,717","855,283","892,169","906,302","933,034","921,080","949,768","954,872","1,004,796","996,877","1,024,597",,"2,502,030","2,504,293","2,497,029","2,486,750","2,489,901","2,494,079","2,518,651","2,544,472","2,570,907","2,573,672","2,578,295","2,577,307",,33.7,33.0,34.3,35.9,36.4,37.4,36.6,37.3,37.1,39.0,38.7,39.8
North Dakota ,"71,509","73,317","68,607","70,144","70,780","73,974","74,021","75,163","78,424","77,223","82,980","82,796",,"174,094","168,631","164,379","160,764","159,374","157,141","156,114","158,461","159,328","162,677","166,174","170,010",,41.1,43.5,41.7,43.6,44.4,47.1,47.4,47.4,49.2,47.5,49.9,48.7
Ohio,"1,075,353","1,104,034","1,073,492","1,107,195","1,088,355","1,098,912","1,085,140","1,115,946","1,116,552","1,115,603","1,115,560","1,110,323",,"3,313,221","3,259,384","3,204,892","3,156,115","3,115,878","3,078,364","3,037,836","3,000,205","2,959,430","2,916,945","2,886,917","2,873,075",,32.5,33.9,33.5,35.1,34.9,35.7,35.7,37.2,37.7,38.2,38.6,38.6
Oklahoma ,"276,525","264,301","272,880","275,638","283,745","296,769","290,732","294,617","299,692","298,455","308,207","329,554",,"972,426","960,435","951,788","940,700","936,143","933,315","938,630","945,623","949,236","959,376","968,372","975,445",,28.4,27.5,28.7,29.3,30.3,31.8,31.0,31.2,31.6,31.1,31.8,33.8
Oregon,"333,963","337,122","345,461","355,143","375,650","361,760","377,058","393,990","392,018","401,129","396,401","404,801",,"996,147","992,783","991,822","987,749","981,831","985,556","994,743","1,004,706","1,012,559","1,020,615","1,024,229","1,031,267",,33.5,34.0,34.8,36.0,38.3,36.7,37.9,39.2,38.7,39.3,38.7,39.3
Pennsylvania,"1,230,548","1,262,106","1,236,673","1,243,379","1,219,659","1,269,457","1,282,537","1,291,414","1,298,172","1,326,259","1,326,648","1,335,850",,"3,495,003","3,435,158","3,381,750","3,336,783","3,294,544","3,257,164","3,224,924","3,197,312","3,173,801","3,146,144","3,125,795","3,123,097",,35.2,36.7,36.6,37.3,37.0,39.0,39.8,40.4,40.9,42.2,42.4,42.8
Rhode Island ,"117,758","126,318","122,304","128,487","121,938","127,598","124,009","118,325","119,051","120,458","114,934","113,495",,"310,069","306,912","304,816","302,712","299,215","292,094","284,670","277,823","272,611","266,874","263,531","261,020",,38.0,41.2,40.1,42.4,40.8,43.7,43.6,42.6,43.7,45.1,43.6,43.5
South Carolina ,"357,570","380,304","368,143","370,577","404,908","389,378","383,505","411,754","412,350","425,929","423,546","424,313",,"1,184,456","1,175,787","1,170,078","1,165,350","1,168,196","1,169,533","1,179,555","1,186,911","1,196,665","1,195,108","1,193,610","1,193,581",,30.2,32.3,31.5,31.8,34.7,33.3,32.5,34.7,34.5,35.6,35.5,35.5
South Dakota ,"73,128","78,120","75,040","76,724","76,820","82,619","81,430","81,602","82,881","80,521","85,677","85,994",,"205,892","202,454","199,552","196,608","195,250","194,053","193,284","194,894","195,036","196,965","198,943","201,235",,35.5,38.6,37.6,39.0,39.3,42.6,42.1,41.9,42.5,40.9,43.1,42.7
Tennessee,"489,940","495,231","506,572","511,871","526,222","521,417","524,652","529,569","550,400","579,010","566,627","574,932",,"1,715,304","1,699,828","1,685,039","1,675,364","1,675,964","1,679,791","1,690,961","1,697,092","1,691,716","1,684,731","1,678,140","1,678,144",,28.6,29.1,30.1,30.6,31.4,31.0,31.0,31.2,32.5,34.4,33.8,34.3
Texas,"1,973,279","1,979,704","2,040,420","2,059,427","2,145,218","2,112,582","2,183,005","2,244,095","2,278,679","2,312,816","2,376,592","2,486,642",,"6,495,058","6,529,822","6,552,685","6,556,417","6,589,095","6,634,314","6,742,164","6,835,875","6,921,332","7,007,959","7,092,605","7,180,834",,30.4,30.3,31.1,31.4,32.6,31.8,32.4,32.8,32.9,33.0,33.5,34.6
Utah,"222,534","222,744","237,118","247,337","255,239","276,707","278,685","289,026","305,934","302,339","313,173","323,281",,"627,787","633,099","641,229","650,255","663,806","679,624","701,224","726,571","746,850","765,668","781,391","793,074",,35.4,35.2,37.0,38.0,38.5,40.7,39.7,39.8,41.0,39.5,40.1,40.8
Vermont ,"70,277","70,565","68,503","68,018","67,202","68,447","68,160","69,117","67,358","68,179","65,047","70,427",,"175,916","172,405","169,409","165,614","161,932","158,855","155,997","153,309","151,259","149,150","147,726","146,497",,39.9,40.9,40.4,41.1,41.5,43.1,43.7,45.1,44.5,45.7,44.0,48.1
Virginia,"874,239","892,862","894,093","904,354","916,367","925,208","949,488","951,423","959,627","970,871","1,010,139","1,049,674",,"2,237,682","2,227,441","2,212,969","2,196,616","2,192,025","2,190,025","2,190,642","2,186,905","2,189,453","2,191,638","2,202,484","2,215,775",,39.1,40.1,40.4,41.2,41.8,42.2,43.3,43.5,43.8,44.3,45.9,47.4
Washington,"693,591","704,284","728,606","721,329","754,664","739,976","771,750","772,894","758,758","782,873","787,904","813,490",,"1,814,246","1,805,606","1,792,653","1,774,739","1,771,863","1,774,193","1,791,998","1,803,331","1,819,408","1,835,742","1,845,600","1,868,055",,38.2,39.0,40.6,40.6,42.6,41.7,43.1,42.9,41.7,42.6,42.7,43.5
West Virginia ,"115,337","110,362","120,288","123,752","120,939","125,231","130,214","130,375","129,038","130,226","132,412","143,431",,"498,535","487,860","481,424","476,738","472,377","469,859","468,119","465,516","463,268","460,260","457,854","455,269",,23.1,22.6,25.0,26.0,25.6,26.7,27.8,28.0,27.9,28.3,28.9,31.5
Wisconsin,"566,244","568,689","561,784","566,942","589,010","596,923","599,292","596,698","602,047","595,646","604,645","610,184",,"1,578,869","1,561,327","1,544,764","1,526,655","1,510,765","1,495,134","1,479,447","1,471,698","1,462,682","1,452,804","1,446,626","1,440,314",,35.9,36.4,36.4,37.1,39.0,39.9,40.5,40.5,41.2,41.0,41.8,42.4
Wyoming ,"44,235","41,055","42,740","44,448","44,998","42,115","45,237","48,790","49,868","49,575","53,923","55,280",,"138,145","134,483","132,677","130,128","129,628","129,772","131,399","135,001","138,230","143,309","144,672","145,854",,32.0,30.5,32.2,34.2,34.7,32.5,34.4,36.1,36.1,34.6,37.3,37.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
