Categories,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
All full-time students,1847,1947,1746,1752,1640,1567,1578,1588,1634,1495
Male,887,917,878,866,820,789,796,769,779,743
Female,960,1030,868,886,820,778,782,819,855,752
First-year full-time,522,505,473,458,360,359,387,424,449,427
U.S. citizens and permanent residents,1351,1381,1162,1148,1044,1254,1000,1005,1051,1070
Hispanic or Latino,85,32,38,38,38,46,36,36,28,18
Not Hispanic or Latino,1256,1155,1115,1102,1000,1187,944,942,986,993
American Indian or Alaska Native,5,7,8,9,10,8,8,7,7,5
Asian,266,218,214,201,190,389,210,219,232,281
Black or African American,30,18,16,12,9,13,10,12,13,9
Native Hawaiian or Other Pacific Islander,66,186,144,144,116,132,110,103,110,104
White,689,581,614,620,567,572,533,531,542,510
More than one race,200,145,119,116,108,73,73,70,82,84
Unknown ethnicity/race,10,194,9,8,6,21,20,27,37,59
Temporary-visa holder,496,566,584,604,596,313,578,583,583,425