Series ID,State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
LNU04000000,United States,0.077,0.071,0.061,0.058,0.071,0.076,0.097,0.096,0.075,0.072,0.07,0.062,0.055,0.053,0.056,0.068,0.075,0.069,0.061,0.056,0.054,0.049,0.045,0.042,0.04,0.047,0.058,0.06,0.055,0.051,0.046,0.046,0.058,0.093,0.096,0.089,0.081,0.074
LAUST010000000000003,Alabama,0.064,0.068,0.059,0.068,0.084,0.097,0.1320,0.1280,0.1020,0.086,0.091,0.076,0.069,0.066,0.063,0.069,0.069,0.066,0.054,0.052,0.045,0.044,0.039,0.043,0.041,0.047,0.054,0.054,0.05,0.038,0.035,0.034,0.05,0.097,0.092,0.085,0.071,0.065
LAUST020000000000003,Alaska,0.076,0.096,0.1060,0.09,0.094,0.091,0.098,0.10,0.099,0.096,0.110,0.1020,0.087,0.069,0.07,0.082,0.089,0.077,0.075,0.071,0.075,0.071,0.061,0.062,0.062,0.062,0.071,0.077,0.074,0.069,0.065,0.061,0.064,0.077,0.08,0.076,0.069,0.065
LAUST040000000000003,Arizona,0.098,0.084,0.061,0.051,0.067,0.062,0.10,0.092,0.05,0.063,0.069,0.064,0.063,0.053,0.053,0.057,0.074,0.064,0.061,0.053,0.055,0.046,0.043,0.045,0.04,0.047,0.06,0.057,0.05,0.047,0.041,0.037,0.06,0.098,0.1040,0.094,0.083,0.08
LAUST050000000000003,Arkansas,0.069,0.064,0.061,0.06,0.075,0.085,0.095,0.097,0.083,0.085,0.085,0.081,0.077,0.07,0.068,0.072,0.071,0.061,0.053,0.048,0.051,0.051,0.05,0.044,0.042,0.047,0.053,0.058,0.056,0.051,0.053,0.053,0.054,0.075,0.079,0.08,0.075,0.075
LAUST060000000000003,California,0.092,0.083,0.072,0.063,0.069,0.074,0.10,0.098,0.078,0.072,0.068,0.058,0.053,0.051,0.058,0.078,0.094,0.095,0.086,0.079,0.073,0.064,0.06,0.053,0.049,0.054,0.067,0.068,0.062,0.054,0.049,0.054,0.072,0.1130,0.1240,0.1180,0.1040,0.089
LAUST080000000000003,Colorado,0.06,0.065,0.054,0.046,0.059,0.055,0.078,0.073,0.054,0.06,0.075,0.075,0.064,0.056,0.051,0.054,0.06,0.053,0.043,0.04,0.042,0.034,0.035,0.03,0.027,0.038,0.057,0.061,0.056,0.051,0.043,0.038,0.048,0.081,0.09,0.085,0.078,0.068
LAUST090000000000003,Connecticut,0.091,0.071,0.053,0.052,0.059,0.06,0.069,0.059,0.045,0.046,0.038,0.032,0.029,0.036,0.049,0.065,0.073,0.064,0.055,0.053,0.053,0.048,0.033,0.027,0.023,0.031,0.044,0.055,0.049,0.049,0.044,0.046,0.056,0.082,0.093,0.089,0.083,0.078
LAUST100000000000003,Delaware,0.081,0.079,0.073,0.071,0.074,0.078,0.08,0.077,0.062,0.051,0.039,0.031,0.029,0.031,0.042,0.057,0.054,0.05,0.046,0.044,0.043,0.039,0.035,0.033,0.033,0.035,0.04,0.042,0.039,0.04,0.035,0.035,0.049,0.079,0.08,0.074,0.071,0.067
LAUST120000000000003,Florida,0.093,0.083,0.068,0.061,0.061,0.068,0.084,0.085,0.066,0.062,0.059,0.054,0.053,0.057,0.063,0.076,0.084,0.072,0.065,0.057,0.053,0.05,0.045,0.04,0.038,0.047,0.057,0.053,0.047,0.038,0.033,0.04,0.063,0.1040,0.1130,0.1030,0.088,0.072
LAUST130000000000003,Georgia,0.081,0.069,0.057,0.052,0.062,0.065,0.077,0.075,0.061,0.063,0.059,0.055,0.055,0.053,0.052,0.05,0.067,0.059,0.051,0.048,0.046,0.045,0.042,0.038,0.035,0.04,0.048,0.048,0.047,0.052,0.047,0.046,0.063,0.097,0.1020,0.099,0.09,0.082
LAUST150000000000003,Hawaii,0.093,0.077,0.067,0.057,0.048,0.051,0.059,0.059,0.054,0.05,0.045,0.036,0.03,0.024,0.024,0.028,0.042,0.044,0.051,0.055,0.059,0.058,0.057,0.05,0.04,0.042,0.04,0.039,0.032,0.028,0.025,0.027,0.041,0.068,0.067,0.065,0.057,0.048
LAUST160000000000003,Idaho,0.054,0.056,0.055,0.058,0.071,0.076,0.09,0.088,0.074,0.078,0.081,0.075,0.061,0.053,0.055,0.059,0.064,0.061,0.054,0.052,0.053,0.051,0.051,0.049,0.046,0.049,0.054,0.052,0.046,0.037,0.03,0.03,0.048,0.074,0.087,0.084,0.073,0.062
LAUST170000000000003,Illinois,0.066,0.062,0.06,0.055,0.082,0.086,0.1130,0.1170,0.091,0.091,0.083,0.074,0.068,0.061,0.063,0.073,0.078,0.074,0.058,0.052,0.053,0.048,0.045,0.045,0.045,0.054,0.065,0.067,0.062,0.058,0.046,0.051,0.064,0.10,0.1050,0.097,0.089,0.092
LAUST180000000000003,Indiana,0.061,0.058,0.056,0.064,0.096,0.097,0.1190,0.1110,0.084,0.077,0.068,0.061,0.051,0.047,0.05,0.056,0.061,0.05,0.045,0.043,0.039,0.033,0.029,0.029,0.029,0.042,0.052,0.053,0.053,0.054,0.05,0.046,0.058,0.1030,0.10,0.088,0.081,0.075
LAUST190000000000003,Iowa,0.041,0.039,0.039,0.044,0.057,0.07,0.081,0.083,0.073,0.079,0.068,0.058,0.047,0.043,0.045,0.046,0.045,0.042,0.038,0.036,0.036,0.032,0.029,0.026,0.028,0.033,0.039,0.044,0.046,0.043,0.037,0.038,0.04,0.063,0.063,0.058,0.052,0.046
LAUST200000000000003,Kansas,0.042,0.04,0.031,0.031,0.045,0.043,0.065,0.06,0.05,0.052,0.054,0.049,0.046,0.042,0.043,0.045,0.046,0.051,0.049,0.044,0.044,0.039,0.038,0.035,0.038,0.043,0.051,0.056,0.055,0.051,0.044,0.041,0.044,0.071,0.071,0.065,0.058,0.054
LAUST210000000000003,Kentucky,0.055,0.049,0.053,0.057,0.081,0.087,0.1080,0.1130,0.091,0.091,0.092,0.083,0.076,0.065,0.061,0.074,0.07,0.064,0.055,0.056,0.055,0.054,0.046,0.046,0.042,0.052,0.057,0.063,0.056,0.06,0.059,0.056,0.066,0.1030,0.1020,0.095,0.083,0.083
LAUST220000000000003,Louisiana,0.065,0.068,0.068,0.065,0.069,0.084,0.1020,0.1170,0.099,0.1150,0.1250,0.1180,0.1050,0.076,0.059,0.069,0.079,0.074,0.075,0.067,0.063,0.057,0.053,0.047,0.05,0.054,0.059,0.062,0.055,0.067,0.039,0.038,0.044,0.066,0.074,0.072,0.065,0.062
LAUST230000000000003,Maine,0.085,0.083,0.064,0.066,0.074,0.071,0.083,0.08,0.06,0.055,0.052,0.043,0.037,0.04,0.053,0.076,0.071,0.066,0.064,0.058,0.052,0.051,0.045,0.039,0.033,0.037,0.044,0.05,0.046,0.049,0.047,0.047,0.054,0.081,0.082,0.077,0.072,0.067
LAUST240000000000003,Maryland,0.066,0.061,0.057,0.058,0.066,0.072,0.082,0.073,0.051,0.047,0.046,0.043,0.041,0.037,0.046,0.062,0.066,0.06,0.052,0.051,0.049,0.048,0.043,0.036,0.036,0.041,0.045,0.045,0.043,0.041,0.038,0.034,0.043,0.074,0.079,0.073,0.069,0.066
LAUST250000000000003,Massachusetts,0.098,0.079,0.062,0.055,0.057,0.064,0.08,0.07,0.048,0.041,0.04,0.034,0.033,0.042,0.063,0.088,0.088,0.073,0.062,0.055,0.046,0.041,0.034,0.033,0.027,0.037,0.053,0.058,0.052,0.048,0.048,0.045,0.053,0.082,0.083,0.073,0.068,0.071
LAUST260000000000003,Michigan,0.094,0.082,0.071,0.079,0.1210,0.1250,0.1560,0.1460,0.1140,0.1010,0.089,0.083,0.076,0.072,0.077,0.093,0.092,0.074,0.062,0.053,0.049,0.043,0.04,0.038,0.037,0.052,0.062,0.071,0.071,0.068,0.069,0.071,0.083,0.1350,0.1270,0.1040,0.091,0.088
LAUST270000000000003,Minnesota,0.059,0.054,0.04,0.043,0.059,0.057,0.081,0.08,0.063,0.06,0.056,0.051,0.043,0.043,0.048,0.052,0.051,0.049,0.041,0.037,0.039,0.033,0.027,0.028,0.031,0.038,0.045,0.049,0.046,0.042,0.041,0.047,0.054,0.08,0.074,0.065,0.056,0.051
LAUST280000000000003,Mississippi,0.067,0.075,0.07,0.057,0.077,0.087,0.1150,0.1260,0.1080,0.1080,0.1210,0.1040,0.087,0.08,0.077,0.089,0.083,0.07,0.066,0.065,0.063,0.06,0.054,0.053,0.057,0.056,0.067,0.064,0.063,0.078,0.068,0.063,0.068,0.095,0.1060,0.1060,0.092,0.086
LAUST290000000000003,Missouri,0.062,0.059,0.048,0.046,0.073,0.075,0.092,0.098,0.071,0.064,0.062,0.062,0.056,0.055,0.058,0.065,0.06,0.061,0.049,0.047,0.047,0.043,0.04,0.031,0.033,0.045,0.052,0.056,0.058,0.054,0.048,0.05,0.059,0.094,0.093,0.085,0.07,0.065
LAUST300000000000003,Montana,0.058,0.058,0.055,0.054,0.063,0.068,0.082,0.085,0.078,0.078,0.076,0.073,0.065,0.06,0.06,0.063,0.064,0.06,0.055,0.054,0.055,0.053,0.056,0.053,0.048,0.045,0.045,0.043,0.04,0.036,0.032,0.034,0.045,0.06,0.067,0.065,0.06,0.056
LAUST310000000000003,Nebraska,0.032,0.034,0.03,0.028,0.039,0.041,0.057,0.057,0.044,0.051,0.049,0.044,0.035,0.028,0.023,0.026,0.029,0.028,0.026,0.026,0.028,0.024,0.025,0.028,0.028,0.031,0.037,0.04,0.039,0.039,0.03,0.03,0.033,0.047,0.047,0.045,0.04,0.039
LAUST320000000000003,Nevada,0.089,0.067,0.048,0.049,0.065,0.075,0.099,0.097,0.077,0.075,0.066,0.061,0.053,0.048,0.051,0.063,0.069,0.068,0.061,0.056,0.052,0.045,0.044,0.043,0.045,0.053,0.057,0.052,0.044,0.045,0.042,0.047,0.071,0.1170,0.1380,0.1320,0.1150,0.098
LAUST330000000000003,New Hampshire,0.067,0.056,0.038,0.032,0.046,0.052,0.07,0.056,0.043,0.038,0.025,0.023,0.025,0.035,0.056,0.073,0.076,0.063,0.047,0.04,0.037,0.031,0.029,0.028,0.027,0.034,0.045,0.045,0.039,0.036,0.035,0.035,0.039,0.062,0.062,0.055,0.055,0.053
LAUST340000000000003,New Jersey,0.1050,0.093,0.073,0.069,0.073,0.075,0.087,0.08,0.062,0.056,0.05,0.041,0.038,0.041,0.051,0.068,0.085,0.076,0.068,0.065,0.062,0.053,0.046,0.045,0.037,0.043,0.058,0.059,0.049,0.045,0.046,0.043,0.055,0.09,0.096,0.093,0.093,0.082
LAUST350000000000003,New Mexico,0.088,0.076,0.063,0.066,0.076,0.074,0.09,0.095,0.08,0.087,0.092,0.09,0.076,0.067,0.068,0.072,0.075,0.073,0.066,0.068,0.075,0.066,0.062,0.056,0.05,0.049,0.055,0.059,0.058,0.052,0.041,0.035,0.045,0.069,0.08,0.076,0.071,0.069
LAUST360000000000003,New York,0.1020,0.092,0.078,0.072,0.075,0.076,0.085,0.087,0.071,0.066,0.062,0.049,0.043,0.05,0.053,0.073,0.086,0.079,0.069,0.064,0.063,0.065,0.057,0.052,0.045,0.049,0.062,0.064,0.058,0.05,0.046,0.046,0.054,0.083,0.086,0.082,0.085,0.077
LAUST370000000000003,North Carolina,0.063,0.059,0.046,0.048,0.064,0.066,0.095,0.089,0.068,0.058,0.053,0.046,0.037,0.036,0.042,0.059,0.062,0.052,0.044,0.044,0.044,0.039,0.035,0.033,0.037,0.056,0.066,0.065,0.055,0.053,0.048,0.048,0.063,0.1040,0.1080,0.1020,0.092,0.08
LAUST380000000000003,North Dakota,0.037,0.046,0.042,0.04,0.05,0.048,0.057,0.06,0.054,0.057,0.059,0.051,0.047,0.044,0.04,0.043,0.047,0.044,0.037,0.033,0.032,0.029,0.03,0.032,0.029,0.028,0.035,0.036,0.035,0.034,0.032,0.031,0.031,0.041,0.038,0.034,0.03,0.029
LAUST390000000000003,Ohio,0.077,0.064,0.055,0.059,0.085,0.096,0.1270,0.1220,0.094,0.089,0.082,0.07,0.061,0.055,0.057,0.066,0.074,0.067,0.056,0.049,0.05,0.046,0.043,0.043,0.04,0.044,0.057,0.062,0.061,0.059,0.054,0.056,0.066,0.1020,0.10,0.087,0.074,0.074
LAUST400000000000003,Oklahoma,0.0580,0.05,0.036,0.033,0.044,0.037,0.062,0.086,0.07,0.074,0.085,0.075,0.065,0.057,0.057,0.062,0.062,0.06,0.056,0.046,0.042,0.042,0.044,0.036,0.031,0.037,0.048,0.056,0.05,0.045,0.041,0.041,0.037,0.067,0.069,0.059,0.054,0.054
LAUST410000000000003,Oregon,0.093,0.075,0.061,0.067,0.084,0.098,0.1160,0.1090,0.094,0.087,0.08,0.063,0.058,0.054,0.054,0.064,0.073,0.069,0.055,0.049,0.056,0.056,0.057,0.055,0.051,0.064,0.076,0.081,0.073,0.062,0.053,0.052,0.065,0.1110,0.1080,0.097,0.088,0.077
LAUST420000000000003,Pennsylvania,0.08,0.077,0.069,0.068,0.079,0.084,0.1130,0.1160,0.091,0.081,0.069,0.057,0.05,0.047,0.054,0.069,0.077,0.071,0.063,0.059,0.054,0.051,0.046,0.044,0.042,0.048,0.056,0.057,0.054,0.05,0.045,0.044,0.053,0.079,0.085,0.08,0.079,0.074
LAUST440000000000003,Rhode Island,0.08,0.077,0.065,0.063,0.071,0.079,0.094,0.084,0.056,0.045,0.04,0.036,0.03,0.04,0.061,0.081,0.088,0.079,0.068,0.062,0.053,0.052,0.046,0.042,0.042,0.045,0.051,0.054,0.052,0.051,0.051,0.052,0.077,0.1090,0.1170,0.1120,0.1030,0.095
LAUST450000000000003,South Carolina,0.071,0.068,0.056,0.05,0.066,0.08,0.1070,0.096,0.067,0.066,0.062,0.052,0.046,0.046,0.049,0.061,0.066,0.072,0.06,0.051,0.056,0.044,0.036,0.041,0.036,0.052,0.06,0.067,0.068,0.068,0.064,0.056,0.068,0.1140,0.1110,0.1030,0.09,0.076
LAUST460000000000003,South Dakota,0.034,0.035,0.033,0.034,0.047,0.048,0.055,0.053,0.045,0.048,0.047,0.044,0.042,0.04,0.037,0.036,0.035,0.036,0.034,0.033,0.034,0.031,0.03,0.028,0.027,0.031,0.033,0.035,0.037,0.037,0.031,0.029,0.03,0.052,0.051,0.047,0.042,0.038
LAUST470000000000003,Tennessee,0.062,0.063,0.059,0.06,0.073,0.092,0.1170,0.1170,0.093,0.082,0.079,0.068,0.058,0.052,0.055,0.066,0.066,0.06,0.051,0.053,0.053,0.053,0.045,0.041,0.04,0.047,0.053,0.057,0.054,0.056,0.052,0.048,0.066,0.1060,0.099,0.093,0.082,0.082
LAUST480000000000003,Texas,0.058,0.054,0.048,0.044,0.052,0.053,0.069,0.079,0.062,0.068,0.089,0.085,0.074,0.067,0.064,0.07,0.076,0.072,0.066,0.061,0.058,0.054,0.049,0.047,0.044,0.05,0.064,0.067,0.06,0.054,0.049,0.044,0.049,0.075,0.082,0.079,0.068,0.063
LAUST490000000000003,Utah,0.056,0.053,0.039,0.045,0.065,0.065,0.083,0.088,0.065,0.062,0.062,0.062,0.05,0.046,0.044,0.047,0.049,0.042,0.039,0.035,0.035,0.032,0.037,0.036,0.034,0.044,0.058,0.057,0.051,0.041,0.029,0.026,0.033,0.078,0.081,0.068,0.054,0.044
LAUST500000000000003,Vermont,0.085,0.071,0.055,0.049,0.063,0.058,0.072,0.067,0.049,0.048,0.044,0.038,0.03,0.036,0.049,0.066,0.064,0.053,0.046,0.043,0.044,0.04,0.031,0.029,0.027,0.033,0.04,0.045,0.037,0.035,0.037,0.039,0.045,0.069,0.064,0.056,0.049,0.044
LAUST510000000000003,Virginia,0.059,0.055,0.052,0.047,0.052,0.058,0.074,0.063,0.051,0.054,0.049,0.042,0.04,0.039,0.044,0.059,0.062,0.052,0.047,0.045,0.043,0.037,0.028,0.027,0.023,0.032,0.042,0.041,0.037,0.035,0.03,0.031,0.04,0.07,0.071,0.064,0.059,0.055
LAUST530000000000003,Washington,0.088,0.084,0.068,0.067,0.079,0.094,0.1180,0.110,0.092,0.083,0.08,0.072,0.062,0.058,0.051,0.063,0.072,0.071,0.065,0.063,0.059,0.049,0.048,0.048,0.05,0.062,0.073,0.074,0.062,0.055,0.049,0.046,0.054,0.093,0.099,0.092,0.081,0.07
LAUST540000000000003,West Virginia,0.074,0.066,0.06,0.069,0.096,0.1070,0.1430,0.1740,0.1470,0.1340,0.120,0.1080,0.097,0.087,0.086,0.1050,0.1130,0.1040,0.087,0.079,0.074,0.068,0.065,0.063,0.055,0.052,0.059,0.06,0.053,0.049,0.045,0.042,0.042,0.076,0.085,0.078,0.072,0.065
LAUST550000000000003,Wisconsin,0.055,0.05,0.048,0.045,0.073,0.079,0.1030,0.098,0.073,0.072,0.069,0.061,0.042,0.042,0.043,0.053,0.052,0.045,0.043,0.037,0.036,0.035,0.033,0.031,0.034,0.044,0.053,0.056,0.05,0.048,0.047,0.048,0.048,0.087,0.085,0.075,0.069,0.067
LAUST560000000000003,Wyoming,0.04,0.034,0.03,0.026,0.04,0.041,0.061,0.083,0.063,0.071,0.089,0.082,0.066,0.063,0.053,0.051,0.057,0.055,0.05,0.049,0.052,0.048,0.049,0.049,0.038,0.039,0.042,0.045,0.039,0.037,0.032,0.028,0.031,0.063,0.07,0.061,0.054,0.046